Time(s),Input(v),Output(v),Output(m)
140.899999999996,2.503,4.586,4.680
140.999999999996,2.503,4.583,4.677
141.099999999996,2.522,4.580,4.674
141.199999999996,2.532,4.578,4.671
141.299999999996,2.512,4.576,4.669
141.399999999996,2.512,4.574,4.668
141.499999999996,2.473,4.573,4.666
141.599999999996,2.493,4.571,4.665
141.699999999996,2.532,4.569,4.663
141.799999999996,2.483,4.568,4.661
141.899999999996,2.512,4.567,4.660
141.999999999996,2.522,4.565,4.659
142.099999999996,2.532,4.565,4.658
142.199999999996,2.512,4.564,4.658
142.299999999996,2.522,4.565,4.658
142.399999999996,2.473,4.565,4.658
142.499999999996,2.532,4.565,4.658
142.599999999996,2.532,4.566,4.659
142.699999999996,2.493,4.567,4.660
142.799999999996,2.512,4.568,4.661
142.899999999996,2.532,4.570,4.663
142.999999999996,2.473,4.572,4.665
143.099999999996,2.522,4.573,4.666
143.199999999996,2.483,4.575,4.668
143.299999999996,2.532,4.576,4.670
143.399999999996,2.522,4.579,4.672
143.499999999996,2.512,4.581,4.675
143.599999999996,2.512,4.584,4.677
143.699999999996,2.512,4.587,4.681
143.799999999996,2.532,4.590,4.684
143.899999999996,2.473,4.594,4.688
143.999999999996,2.512,4.597,4.691
144.099999999996,2.503,4.601,4.695
144.199999999996,2.493,4.604,4.698
144.299999999996,2.532,4.607,4.701
144.399999999996,2.493,4.611,4.705
144.499999999996,2.473,4.615,4.709
144.599999999996,2.532,4.618,4.712
144.699999999996,2.473,4.622,4.716
144.799999999996,2.532,4.625,4.719
144.899999999996,2.532,4.628,4.723
144.999999999996,2.493,4.633,4.727
145.099999999996,2.473,4.637,4.731
145.199999999996,2.483,4.640,4.735
145.299999999996,2.503,4.643,4.738
145.399999999996,2.493,4.646,4.741
145.499999999996,2.522,4.649,4.744
145.599999999996,2.473,4.652,4.747
145.699999999996,2.483,4.655,4.750
145.799999999996,2.522,4.657,4.753
145.899999999996,2.473,4.660,4.755
145.999999999996,2.512,4.662,4.758
146.099999999996,2.483,4.665,4.760
146.199999999996,2.493,4.667,4.762
146.299999999996,2.473,4.669,4.764
146.399999999996,2.473,4.670,4.765
146.499999999996,2.493,4.670,4.766
146.599999999996,2.522,4.671,4.766
146.699999999996,2.493,4.672,4.767
146.799999999996,2.532,4.673,4.768
146.899999999996,2.532,4.674,4.770
146.999999999996,2.503,4.676,4.772
147.099999999996,2.473,4.678,4.774
147.199999999996,2.512,4.680,4.775
147.299999999996,2.503,4.682,4.777
147.399999999996,2.532,4.684,4.779
147.499999999996,2.532,4.686,4.782
147.599999999996,2.473,4.689,4.785
147.699999999996,2.493,4.691,4.787
147.799999999996,2.473,4.694,4.789
147.899999999996,2.522,4.695,4.791
147.999999999996,2.493,4.698,4.793
148.099999999996,2.473,4.699,4.795
148.199999999996,2.483,4.701,4.797
148.299999999996,2.532,4.702,4.798
148.399999999996,2.512,4.703,4.799
148.499999999996,2.512,4.705,4.801
148.599999999996,2.473,4.707,4.804
148.699999999996,2.532,4.709,4.805
148.799999999996,2.512,4.711,4.807
148.899999999996,2.473,4.714,4.810
148.999999999996,2.532,4.715,4.812
149.099999999996,2.512,4.718,4.814
149.199999999996,2.473,4.720,4.817
149.299999999996,2.483,4.722,4.819
149.399999999996,2.532,4.724,4.821
149.499999999996,2.532,4.726,4.823
149.599999999996,2.483,4.729,4.826
149.699999999996,2.522,4.732,4.829
149.799999999996,2.503,4.735,4.832
149.899999999996,2.483,4.738,4.835
149.999999999996,2.532,4.740,4.837
150.099999999996,2.493,4.744,4.841
150.199999999996,2.532,4.747,4.844
150.299999999996,2.522,4.750,4.847
150.399999999996,2.522,4.754,4.851
150.499999999996,2.522,4.759,4.856
150.599999999996,2.493,4.764,4.861
150.699999999996,2.493,4.768,4.866
150.799999999996,2.512,4.773,4.870
150.899999999996,2.532,4.777,4.875
150.999999999996,2.532,4.782,4.880
151.099999999996,2.493,4.788,4.886
151.199999999996,2.512,4.794,4.892
151.299999999996,2.493,4.800,4.897
151.399999999996,2.463,4.805,4.903
151.499999999996,2.493,4.810,4.908
151.599999999996,2.512,4.814,4.912
151.699999999996,2.522,4.819,4.917
151.799999999996,2.473,4.824,4.922
151.899999999996,2.493,4.828,4.927
151.999999999996,2.512,4.832,4.931
152.099999999996,2.522,4.837,4.936
152.199999999996,2.463,4.842,4.940
152.299999999996,2.493,4.846,4.945
152.399999999996,2.522,4.849,4.948
152.499999999996,2.503,4.854,4.953
152.599999999996,2.522,4.858,4.957
152.699999999996,2.473,4.862,4.962
152.799999999996,2.522,4.866,4.966
152.899999999996,2.493,4.871,4.970
152.999999999996,2.473,4.875,4.974
153.099999999996,2.473,4.878,4.978
153.199999999996,2.483,4.881,4.981
153.299999999996,2.473,4.884,4.984
153.399999999996,2.483,4.886,4.986
153.499999999996,2.473,4.887,4.987
153.599999999996,2.522,4.888,4.988
153.699999999996,2.483,4.890,4.990
153.799999999996,2.512,4.891,4.991
153.899999999996,2.532,4.892,4.992
153.999999999996,2.493,4.894,4.994
154.099999999996,2.532,4.896,4.996
154.199999999996,2.493,4.898,4.998
154.299999999996,2.493,4.901,5.001
154.399999999996,2.473,4.903,5.003
154.499999999996,2.473,4.904,5.004
154.599999999996,2.493,4.905,5.005
154.699999999995,2.473,4.906,5.006
154.799999999995,2.532,4.906,5.006
154.899999999995,2.493,4.907,5.007
154.999999999995,2.532,4.908,5.008
155.099999999995,2.522,4.909,5.009
155.199999999995,2.512,4.911,5.011
155.299999999995,2.483,4.913,5.013
155.399999999995,2.483,4.914,5.015
155.499999999995,2.473,4.916,5.016
155.599999999995,2.473,4.916,5.017
155.699999999995,2.483,4.916,5.017
155.799999999995,2.483,4.916,5.016
155.899999999995,2.503,4.916,5.016
155.999999999995,2.522,4.915,5.015
156.099999999995,2.493,4.915,5.015
156.199999999995,2.512,4.915,5.015
156.299999999995,2.512,4.915,5.015
156.399999999995,2.512,4.915,5.015
156.499999999995,2.493,4.916,5.016
156.599999999995,2.503,4.916,5.016
156.699999999995,2.493,4.917,5.017
156.799999999995,2.522,4.917,5.017
156.899999999995,2.503,4.918,5.018
156.999999999995,2.522,4.918,5.019
157.099999999995,2.532,4.920,5.020
157.199999999995,2.532,4.921,5.022
157.299999999995,2.483,4.924,5.024
157.399999999995,2.473,4.926,5.027
157.499999999995,2.522,4.928,5.028
157.599999999995,2.512,4.930,5.030
157.699999999995,2.473,4.932,5.032
157.799999999995,2.473,4.933,5.034
157.899999999995,2.522,4.934,5.035
157.999999999995,2.473,4.936,5.037
158.099999999995,2.522,4.937,5.038
158.199999999995,2.463,4.938,5.039
158.299999999995,2.473,4.939,5.040
158.399999999995,2.522,4.939,5.040
158.499999999995,2.512,4.939,5.040
158.599999999995,2.493,4.940,5.041
158.699999999995,2.512,4.941,5.041
158.799999999995,2.512,4.941,5.042
158.899999999995,2.483,4.942,5.043
158.999999999995,2.512,4.943,5.044
159.099999999995,2.493,4.944,5.045
159.199999999995,2.473,4.945,5.046
159.299999999995,2.532,4.945,5.046
159.399999999995,2.473,4.946,5.047
159.499999999995,2.503,4.946,5.047
159.599999999995,2.512,4.947,5.048
159.699999999995,2.512,4.947,5.048
159.799999999995,2.503,4.948,5.049
159.899999999995,2.473,4.949,5.050
159.999999999995,2.512,4.949,5.050
160.099999999995,2.473,4.950,5.051
160.199999999995,2.473,4.950,5.051
160.299999999995,2.473,4.949,5.050
160.399999999995,2.503,4.948,5.049
160.499999999995,2.522,4.947,5.048
160.599999999995,2.532,4.947,5.048
160.699999999995,2.522,4.947,5.048
160.799999999995,2.522,4.948,5.049
160.899999999995,2.512,4.949,5.050
160.999999999995,2.532,4.950,5.051
161.099999999995,2.473,4.952,5.053
161.199999999995,2.522,4.953,5.054
161.299999999995,2.512,4.955,5.056
161.399999999995,2.522,4.957,5.058
161.499999999995,2.473,4.959,5.060
161.599999999995,2.503,4.961,5.062
161.699999999995,2.532,4.963,5.064
161.799999999995,2.483,4.965,5.067
161.899999999995,2.503,4.968,5.069
161.999999999995,2.473,4.970,5.071
162.099999999995,2.503,4.971,5.073
162.199999999995,2.493,4.973,5.074
162.299999999995,2.512,4.974,5.076
162.399999999995,2.532,4.976,5.078
162.499999999995,2.532,4.978,5.080
162.599999999995,2.483,4.981,5.083
162.699999999995,2.522,4.984,5.085
162.799999999995,2.473,4.987,5.088
162.899999999995,2.473,4.989,5.091
162.999999999995,2.512,4.991,5.093
163.099999999995,2.503,4.993,5.095
163.199999999995,2.503,4.995,5.097
163.299999999995,2.512,4.997,5.099
163.399999999995,2.503,4.999,5.101
163.499999999995,2.503,5.001,5.104
163.599999999995,2.532,5.004,5.106
163.699999999995,2.503,5.007,5.109
163.799999999995,2.522,5.010,5.112
163.899999999995,2.532,5.013,5.115
163.999999999995,2.503,5.017,5.119
164.099999999995,2.522,5.021,5.123
164.199999999995,2.483,5.025,5.128
164.299999999995,2.512,5.029,5.132
164.399999999995,2.483,5.034,5.136
164.499999999995,2.522,5.037,5.140
164.599999999995,2.473,5.041,5.144
164.699999999995,2.532,5.045,5.148
164.799999999995,2.522,5.049,5.152
164.899999999995,2.473,5.054,5.157
164.999999999995,2.522,5.058,5.161
165.099999999995,2.473,5.062,5.165
165.199999999995,2.532,5.066,5.169
165.299999999995,2.473,5.070,5.174
165.399999999995,2.512,5.074,5.177
165.499999999995,2.473,5.078,5.181
165.599999999995,2.483,5.081,5.185
165.699999999995,2.532,5.084,5.188
165.799999999995,2.483,5.088,5.191
165.899999999995,2.532,5.091,5.195
165.999999999995,2.522,5.094,5.198
166.099999999995,2.522,5.099,5.203
166.199999999995,2.473,5.103,5.207
166.299999999995,2.483,5.107,5.211
166.399999999995,2.522,5.111,5.215
166.499999999995,2.483,5.115,5.219
166.599999999995,2.532,5.118,5.223
166.699999999995,2.512,5.122,5.227
166.799999999995,2.473,5.127,5.231
166.899999999995,2.503,5.130,5.235
166.999999999995,2.473,5.134,5.239
167.099999999995,2.522,5.137,5.242
167.199999999995,2.522,5.141,5.246
167.299999999995,2.473,5.145,5.250
167.399999999995,2.483,5.148,5.253
167.499999999995,2.512,5.151,5.256
167.599999999995,2.463,5.154,5.259
167.699999999995,2.522,5.157,5.262
167.799999999995,2.522,5.159,5.265
167.899999999995,2.493,5.163,5.268
167.999999999995,2.473,5.166,5.271
168.099999999995,2.522,5.168,5.274
168.199999999995,2.532,5.171,5.276
168.299999999995,2.473,5.174,5.280
168.399999999995,2.512,5.177,5.283
168.499999999995,2.483,5.180,5.286
168.599999999995,2.512,5.183,5.289
168.699999999995,2.473,5.186,5.292
168.799999999995,2.532,5.188,5.294
168.899999999995,2.473,5.191,5.297
168.999999999995,2.503,5.193,5.299
169.099999999995,2.522,5.196,5.302
169.199999999995,2.473,5.199,5.305
169.299999999995,2.473,5.201,5.307
169.399999999995,2.473,5.202,5.309
169.499999999995,2.483,5.203,5.310
169.599999999995,2.473,5.204,5.310
169.699999999995,2.522,5.204,5.310
169.799999999995,2.473,5.205,5.311
169.899999999995,2.522,5.205,5.311
169.999999999995,2.522,5.205,5.312
170.099999999995,2.503,5.206,5.313
170.199999999995,2.473,5.207,5.313
170.299999999995,2.473,5.208,5.314
170.399999999995,2.473,5.207,5.314
170.499999999995,2.473,5.207,5.313
170.599999999995,2.532,5.205,5.312
170.699999999995,2.522,5.205,5.311
170.799999999995,2.522,5.205,5.311
170.899999999995,2.503,5.205,5.311
170.999999999995,2.532,5.206,5.312
171.099999999995,2.483,5.207,5.313
171.199999999995,2.473,5.207,5.314
171.299999999995,2.512,5.207,5.314
171.399999999995,2.512,5.208,5.314
171.499999999995,2.473,5.208,5.315
171.599999999995,2.503,5.208,5.315
171.699999999995,2.512,5.209,5.315
171.799999999995,2.463,5.209,5.315
171.899999999995,2.483,5.209,5.315
171.999999999995,2.512,5.208,5.314
172.099999999995,2.532,5.207,5.314
172.199999999995,2.473,5.208,5.314
172.299999999994,2.473,5.207,5.313
172.399999999994,2.532,5.206,5.312
172.499999999994,2.503,5.206,5.312
172.599999999994,2.522,5.206,5.312
172.699999999994,2.503,5.206,5.312
172.799999999994,2.512,5.206,5.313
172.899999999994,2.512,5.207,5.313
172.999999999994,2.532,5.208,5.314
173.099999999994,2.532,5.209,5.316
173.199999999994,2.473,5.211,5.318
173.299999999994,2.483,5.213,5.319
173.399999999994,2.512,5.214,5.321
173.499999999994,2.532,5.215,5.322
173.599999999994,2.512,5.218,5.324
173.699999999994,2.512,5.220,5.326
173.799999999994,2.512,5.222,5.329
173.899999999994,2.473,5.225,5.332
173.999999999994,2.512,5.227,5.334
174.099999999994,2.473,5.229,5.336
174.199999999994,2.473,5.231,5.338
174.299999999994,2.473,5.232,5.339
174.399999999994,2.532,5.233,5.340
174.499999999994,2.512,5.234,5.341
174.599999999994,2.493,5.236,5.343
174.699999999994,2.522,5.237,5.344
174.799999999994,2.483,5.239,5.346
174.899999999994,2.473,5.240,5.347
174.999999999994,2.493,5.241,5.348
175.099999999994,2.473,5.242,5.349
175.199999999994,2.522,5.242,5.349
175.299999999994,2.522,5.242,5.349
175.399999999994,2.483,5.243,5.350
175.499999999994,2.532,5.244,5.351
175.599999999994,2.532,5.245,5.352
175.699999999994,2.473,5.247,5.354
175.799999999994,2.522,5.249,5.356
175.899999999994,2.503,5.250,5.357
175.999999999994,2.503,5.252,5.359
176.099999999994,2.493,5.254,5.361
176.199999999994,2.473,5.256,5.363
176.299999999994,2.522,5.257,5.364
176.399999999994,2.512,5.258,5.366
176.499999999994,2.493,5.260,5.367
176.599999999994,2.473,5.262,5.369
176.699999999994,2.532,5.263,5.370
176.799999999994,2.473,5.264,5.372
176.899999999994,2.493,5.265,5.373
176.999999999994,2.473,5.266,5.374
177.099999999994,2.522,5.267,5.374
177.199999999994,2.473,5.268,5.375
177.299999999994,2.493,5.268,5.375
177.399999999994,2.532,5.268,5.375
177.499999999994,2.532,5.269,5.376
177.599999999994,2.473,5.270,5.378
177.699999999994,2.483,5.271,5.378
177.799999999994,2.522,5.271,5.379
177.899999999994,2.483,5.272,5.380
177.999999999994,2.522,5.273,5.380
178.099999999994,2.503,5.274,5.381
178.199999999994,2.512,5.275,5.382
178.299999999994,2.483,5.276,5.384
178.399999999994,2.503,5.277,5.385
178.499999999994,2.503,5.278,5.386
178.599999999994,2.473,5.279,5.387
178.699999999994,2.522,5.279,5.387
178.799999999994,2.522,5.280,5.388
178.899999999994,2.512,5.282,5.389
178.999999999994,2.512,5.283,5.391
179.099999999994,2.483,5.285,5.393
179.199999999994,2.522,5.286,5.394
179.299999999994,2.483,5.288,5.396
179.399999999994,2.483,5.290,5.398
179.499999999994,2.483,5.291,5.399
179.599999999994,2.473,5.292,5.400
179.699999999994,2.532,5.292,5.400
179.799999999994,2.512,5.293,5.401
179.899999999994,2.493,5.294,5.402
179.999999999994,2.473,5.295,5.403
180.099999999994,2.512,5.295,5.403
180.199999999994,2.512,5.296,5.404
180.299999999994,2.512,5.296,5.405
180.399999999994,2.493,5.298,5.406
180.499999999994,2.463,5.298,5.407
180.599999999994,2.473,5.299,5.407
180.699999999994,2.522,5.298,5.406
180.799999999994,2.522,5.298,5.406
180.899999999994,2.483,5.299,5.407
180.999999999994,2.503,5.299,5.407
181.099999999994,2.483,5.299,5.407
181.199999999994,2.473,5.299,5.407
181.299999999994,2.473,5.298,5.407
181.399999999994,2.503,5.297,5.405
181.499999999994,2.493,5.296,5.404
181.599999999994,2.473,5.295,5.403
181.699999999994,2.532,5.293,5.401
181.799999999994,2.532,5.292,5.400
181.899999999994,2.503,5.291,5.399
181.999999999994,2.503,5.291,5.399
182.099999999994,2.483,5.291,5.399
182.199999999994,2.512,5.290,5.398
182.299999999994,2.473,5.289,5.397
182.399999999994,2.483,5.288,5.396
182.499999999994,2.532,5.287,5.395
182.599999999994,2.512,5.287,5.394
182.699999999994,2.532,5.286,5.394
182.799999999994,2.503,5.286,5.394
182.899999999994,2.522,5.287,5.395
182.999999999994,2.483,5.288,5.396
183.099999999994,2.503,5.288,5.396
183.199999999994,2.532,5.289,5.396
183.299999999994,2.522,5.290,5.398
183.399999999994,2.473,5.291,5.399
183.499999999994,2.512,5.292,5.400
183.599999999994,2.473,5.293,5.401
183.699999999994,2.473,5.294,5.402
183.799999999994,2.483,5.294,5.402
183.899999999994,2.522,5.294,5.402
183.999999999994,2.522,5.294,5.402
184.099999999994,2.522,5.295,5.403
184.199999999994,2.512,5.296,5.404
184.299999999994,2.473,5.297,5.405
184.399999999994,2.473,5.298,5.406
184.499999999994,2.512,5.298,5.406
184.599999999994,2.503,5.299,5.407
184.699999999994,2.503,5.299,5.408
184.799999999994,2.512,5.300,5.408
184.899999999994,2.532,5.301,5.409
184.999999999994,2.473,5.302,5.410
185.099999999994,2.473,5.303,5.411
185.199999999994,2.483,5.303,5.412
185.299999999994,2.473,5.303,5.412
185.399999999994,2.532,5.303,5.411
185.499999999994,2.483,5.303,5.411
185.599999999994,2.522,5.303,5.411
185.699999999994,2.473,5.303,5.411
185.799999999994,2.522,5.302,5.411
185.899999999994,2.473,5.303,5.411
185.999999999994,2.512,5.302,5.410
186.099999999994,2.522,5.302,5.410
186.199999999994,2.532,5.302,5.410
186.299999999994,2.532,5.303,5.411
186.399999999994,2.483,5.305,5.413
186.499999999994,2.473,5.306,5.414
186.599999999994,2.522,5.307,5.415
186.699999999994,2.532,5.308,5.416
186.799999999994,2.503,5.309,5.418
186.899999999994,2.522,5.311,5.419
186.999999999994,2.503,5.313,5.422
187.099999999994,2.503,5.315,5.424
187.199999999994,2.473,5.318,5.426
187.299999999994,2.522,5.319,5.428
187.399999999994,2.473,5.321,5.430
187.499999999994,2.493,5.323,5.431
187.599999999994,2.473,5.324,5.433
187.699999999994,2.473,5.325,5.434
187.799999999994,2.532,5.325,5.434
187.899999999994,2.473,5.326,5.435
187.999999999994,2.483,5.326,5.435
188.099999999994,2.532,5.326,5.435
188.199999999994,2.473,5.327,5.435
188.299999999994,2.483,5.327,5.436
188.399999999994,2.473,5.326,5.435
188.499999999994,2.512,5.326,5.434
188.599999999994,2.473,5.325,5.434
188.699999999994,2.512,5.324,5.433
188.799999999994,2.473,5.323,5.432
188.899999999994,2.483,5.322,5.430
188.999999999994,2.512,5.320,5.428
189.099999999994,2.473,5.318,5.427
189.199999999994,2.503,5.316,5.425
189.299999999994,2.522,5.314,5.423
189.399999999994,2.503,5.313,5.421
189.499999999994,2.473,5.312,5.420
189.599999999994,2.463,5.310,5.418
189.699999999994,2.512,5.307,5.416
189.799999999994,2.522,5.305,5.413
189.899999999993,2.493,5.303,5.411
189.999999999993,2.512,5.301,5.409
190.099999999993,2.483,5.299,5.408
190.199999999993,2.522,5.297,5.406
190.299999999993,2.473,5.296,5.404
190.399999999993,2.473,5.294,5.402
190.499999999993,2.473,5.291,5.399
190.599999999993,2.473,5.288,5.396
190.699999999993,2.473,5.285,5.392
190.799999999993,2.522,5.281,5.388
190.899999999993,2.512,5.277,5.385
190.999999999993,2.473,5.274,5.381
191.099999999993,2.522,5.270,5.377
191.199999999993,2.473,5.267,5.374
191.299999999993,2.532,5.263,5.370
191.399999999993,2.522,5.260,5.367
191.499999999993,2.493,5.257,5.364
191.599999999993,2.522,5.254,5.362
191.699999999993,2.522,5.252,5.359
191.799999999993,2.473,5.251,5.358
191.899999999993,2.512,5.248,5.355
191.999999999993,2.522,5.246,5.353
192.099999999993,2.503,5.245,5.352
192.199999999993,2.522,5.244,5.351
192.299999999993,2.522,5.243,5.350
192.399999999993,2.473,5.242,5.349
192.499999999993,2.503,5.241,5.348
192.599999999993,2.473,5.240,5.347
192.699999999993,2.503,5.239,5.346
192.799999999993,2.473,5.237,5.344
192.899999999993,2.503,5.235,5.342
192.999999999993,2.473,5.234,5.340
193.099999999993,2.473,5.231,5.338
193.199999999993,2.473,5.228,5.335
193.299999999993,2.493,5.225,5.332
193.399999999993,2.473,5.222,5.328
193.499999999993,2.473,5.218,5.324
193.599999999993,2.473,5.213,5.319
193.699999999993,2.493,5.208,5.314
193.799999999993,2.532,5.203,5.309
193.899999999993,2.522,5.199,5.305
193.999999999993,2.532,5.195,5.301
194.099999999993,2.522,5.192,5.298
194.199999999993,2.522,5.189,5.295
194.299999999993,2.532,5.187,5.293
194.399999999993,2.473,5.186,5.291
194.499999999993,2.532,5.184,5.289
194.599999999993,2.483,5.182,5.288
194.699999999993,2.483,5.181,5.286
194.799999999993,2.473,5.179,5.284
194.899999999993,2.473,5.176,5.282
194.999999999993,2.532,5.173,5.279
195.099999999993,2.532,5.171,5.277
195.199999999993,2.532,5.169,5.275
195.299999999993,2.522,5.169,5.274
195.399999999993,2.503,5.168,5.274
195.499999999993,2.532,5.168,5.273
195.599999999993,2.503,5.168,5.273
195.699999999993,2.473,5.168,5.274
195.799999999993,2.463,5.168,5.274
195.899999999993,2.503,5.167,5.273
195.999999999993,2.493,5.166,5.272
196.099999999993,2.522,5.165,5.271
196.199999999993,2.473,5.165,5.270
196.299999999993,2.532,5.164,5.269
196.399999999993,2.473,5.163,5.268
196.499999999993,2.483,5.162,5.267
196.599999999993,2.473,5.161,5.266
196.699999999993,2.522,5.159,5.264
196.799999999993,2.473,5.158,5.263
196.899999999993,2.473,5.156,5.261
196.999999999993,2.512,5.153,5.258
197.099999999993,2.473,5.151,5.256
197.199999999993,2.512,5.148,5.253
197.299999999993,2.522,5.146,5.251
197.399999999993,2.522,5.144,5.249
197.499999999993,2.473,5.143,5.248
197.599999999993,2.532,5.141,5.246
197.699999999993,2.493,5.140,5.244
197.799999999993,2.512,5.138,5.243
197.899999999993,2.493,5.137,5.242
197.999999999993,2.503,5.136,5.241
198.099999999993,2.473,5.135,5.239
198.199999999993,2.473,5.133,5.238
198.299999999993,2.473,5.131,5.235
198.399999999993,2.503,5.128,5.233
198.499999999993,2.522,5.125,5.230
198.599999999993,2.522,5.123,5.228
198.699999999993,2.512,5.121,5.226
198.799999999993,2.473,5.120,5.225
198.899999999993,2.522,5.118,5.223
198.999999999993,2.473,5.117,5.221
199.099999999993,2.522,5.115,5.219
199.199999999993,2.473,5.113,5.218
199.299999999993,2.473,5.111,5.215
199.399999999993,2.522,5.109,5.213
199.499999999993,2.473,5.107,5.211
199.599999999993,2.522,5.104,5.208
199.699999999993,2.532,5.102,5.206
199.799999999993,2.522,5.100,5.205
199.899999999993,2.483,5.100,5.204
199.999999999993,2.473,5.098,5.202
200.099999999993,2.473,5.096,5.200
200.199999999993,2.532,5.094,5.198
200.299999999993,2.532,5.092,5.196
200.399999999993,2.522,5.092,5.195
200.499999999993,2.512,5.091,5.195
200.599999999993,2.503,5.091,5.195
200.699999999993,2.512,5.091,5.195
200.799999999993,2.493,5.091,5.195
200.899999999993,2.483,5.091,5.195
200.999999999993,2.473,5.090,5.194
201.099999999993,2.473,5.089,5.193
201.199999999993,2.493,5.088,5.192
201.299999999993,2.483,5.086,5.190
201.399999999993,2.473,5.084,5.188
201.499999999993,2.512,5.082,5.185
201.599999999993,2.522,5.080,5.183
201.699999999993,2.522,5.078,5.182
201.799999999993,2.503,5.077,5.180
201.899999999993,2.473,5.076,5.179
201.999999999993,2.483,5.074,5.177
202.099999999993,2.522,5.072,5.175
202.199999999993,2.483,5.070,5.174
202.299999999993,2.532,5.068,5.172
202.399999999993,2.473,5.067,5.171
202.499999999993,2.473,5.066,5.169
202.599999999993,2.473,5.063,5.167
202.699999999993,2.473,5.061,5.164
202.799999999993,2.483,5.057,5.161
202.899999999993,2.483,5.054,5.157
202.999999999993,2.473,5.050,5.153
203.099999999993,2.522,5.046,5.148
203.199999999993,2.532,5.042,5.145
203.299999999993,2.503,5.039,5.141
203.399999999993,2.522,5.035,5.138
203.499999999993,2.532,5.033,5.136
203.599999999993,2.503,5.031,5.134
203.699999999993,2.473,5.029,5.132
203.799999999993,2.473,5.027,5.130
203.899999999993,2.503,5.024,5.127
203.999999999993,2.493,5.021,5.124
204.099999999993,2.493,5.019,5.121
